0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,16,0
0,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,0,0
6,0,4,7,8,8,8,8,8,3,3,3,3,3,3,8,8,8,8,8,8,9,4,10,0
0,3,4,7,8,11,3,3,8,3,3,3,3,3,3,8,12,3,3,3,8,9,4,0,0
6,0,4,7,8,3,3,3,8,8,8,8,8,8,8,8,3,3,3,3,8,9,4,10,0
0,3,4,7,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,9,4,0,0
6,0,4,7,8,3,3,3,8,8,8,3,3,8,8,8,3,8,3,3,8,9,4,10,0
0,0,4,7,8,3,3,3,8,3,3,3,3,3,3,8,3,3,8,3,8,9,4,0,0
6,0,4,7,8,3,3,3,8,3,3,3,3,3,9,8,3,8,5,3,8,9,4,10,0
0,3,4,7,8,3,3,3,8,8,8,3,3,8,8,8,3,3,8,3,8,9,4,0,0
6,0,4,7,8,3,3,3,3,9,8,3,3,8,3,3,3,8,3,3,8,9,4,10,0
0,3,4,7,8,3,3,3,8,8,8,3,3,8,8,8,3,3,8,3,8,9,4,0,0
6,0,4,7,8,3,3,3,8,3,3,3,3,3,3,8,3,63,7,3,8,9,4,10,0
0,3,4,7,8,3,3,3,8,3,3,3,3,3,3,8,3,83,8,3,8,9,4,0,0
6,0,4,7,8,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,9,4,10,0
0,3,4,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,4,0,0
6,0,4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,4,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,15,0
